@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.17895,0.57227,n
0.80859,0.86671,p
0.20302,0.38750,n
0.53413,0.03272,p
0.67912,0.44329,p
0.22839,0.79141,p
0.27921,0.59157,n
0.58713,0.36094,p
0.88634,0.39198,p
0.38799,0.32038,n
0.30596,0.97599,p
0.06492,0.44622,n
0.18328,0.10635,p
0.35784,0.37252,n
0.13045,0.45715,n
0.65150,0.69134,p
0.54251,0.38994,p
0.65053,0.80421,p
0.18493,0.41320,p
0.31514,0.50929,n
0.20557,0.41619,n
0.15299,0.43865,p
0.59477,0.84087,p
0.22884,0.57700,p
0.55613,0.96316,p
0.09420,0.41872,p
0.58446,0.97351,p
0.23804,0.61935,n
0.35601,0.71847,p
0.18231,0.38603,n
0.32275,0.75603,p
0.23014,0.57629,p
0.24892,0.09474,p
0.90596,0.86561,p
0.51627,0.38837,p
0.02189,0.46617,p
0.57493,0.12941,p
0.11420,0.51553,n
0.76597,0.23667,n
0.52440,0.58319,n
0.31104,0.62543,p
0.26171,0.79757,p
0.23132,0.53871,n
0.76155,0.62738,p
0.24021,0.39771,n
0.18775,0.48186,n
0.52508,0.47230,p
0.20028,0.49750,n
0.84253,0.14259,p
0.29425,0.61735,n
0.27550,0.68434,n
0.25139,0.48050,n
0.57006,0.27275,p
0.20958,0.55872,n
0.31319,0.02861,p
0.42771,0.47564,n
0.69903,0.10832,p
0.63140,0.30036,p
0.30628,0.40377,n
0.64474,0.56217,p
0.97293,0.54996,p
0.37351,0.32851,n
0.10556,0.53583,n
0.15099,0.39400,n
0.21403,0.83468,n
0.26287,0.32573,p
0.92255,0.69315,p
0.18793,0.41294,n
0.02613,0.36663,p
0.14839,0.44605,n
0.16154,0.56714,p
0.21259,0.52992,n
0.17418,0.46670,n
0.26043,0.53187,n
0.32714,0.35990,n
0.72363,0.52607,p
0.51510,0.29125,n
0.44229,0.48396,p
0.53717,0.03787,p
0.42592,0.56824,n
0.18923,0.37242,n
0.16306,0.37562,n
0.22104,0.35635,n
0.25904,0.61278,n
0.30575,0.32433,n
0.11780,0.45047,p
0.26304,0.62722,n
0.27995,0.50798,n
0.23563,0.54434,n
0.88632,0.98405,n
0.96919,0.86848,p
0.29459,0.55581,n
0.09354,0.78338,p
0.36168,0.49472,n
0.20212,0.75406,p
0.32102,0.80680,p
0.43316,0.48293,p
0.26917,0.69868,p
0.41471,0.28201,p
0.30556,0.44689,n
0.37096,0.33972,n
0.51619,0.31982,p
0.14062,0.41821,n
0.60327,0.98804,p
0.25874,0.53305,n
0.39266,0.64441,p
0.08709,0.57419,n
0.06718,0.22861,p
0.19456,0.43263,n
0.32739,0.33396,n
0.11609,0.42982,n
0.01305,0.46289,p
0.27164,0.52548,n
0.14778,0.63774,n
0.20224,0.53962,n
0.24546,0.59622,n
0.89290,0.61648,p
0.83614,0.10044,p
0.91308,0.26823,p
0.19746,0.37184,n
0.05830,0.44718,p
0.82658,0.43793,p
0.08135,0.24083,p
0.08506,0.62117,p
0.42808,0.64315,n
0.65425,0.74735,p
0.22345,0.73298,p
0.14971,0.37431,p
0.26757,0.61128,n
0.31446,0.52369,n
0.68749,0.86048,n
0.40784,0.34080,n
0.75497,0.33297,p
0.14862,0.63576,n
0.97325,0.51520,p
0.23576,0.52235,n
0.32404,0.53606,n
0.14481,0.39262,n
0.49912,0.24566,n
0.33188,0.44426,n
0.58565,0.13592,p
0.26902,0.52437,n
0.31149,0.41622,n
0.92173,0.33574,p
0.28128,0.44429,n
0.81819,0.62837,n
0.05642,0.00574,p
0.13172,0.40287,n
0.21656,0.49782,n
0.21110,0.55041,n
