@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
True,False,0.63858,0.49260,p
False,False,0.41427,0.07315,n
False,True,0.11263,0.35269,p
True,True,0.77791,0.67173,n
False,False,0.31664,0.86571,n
True,False,0.70128,0.59872,n
False,False,0.78747,0.29149,n
False,False,0.80757,0.29204,n
True,True,0.54064,0.42111,n
True,False,0.71205,0.25488,p
False,True,0.68578,0.16333,n
True,True,0.41907,0.21208,n
False,True,0.59173,0.82521,n
False,False,0.42728,0.01132,n
True,False,0.81856,0.03569,p
True,True,0.07515,0.75572,p
False,False,0.31310,0.88711,n
True,True,0.09936,0.87242,p
False,False,0.28217,0.19044,n
True,True,0.94664,0.63799,p
False,False,0.31846,0.15202,n
True,True,0.43154,0.64344,p
False,False,0.32190,0.17540,n
False,True,0.08254,0.74766,n
False,False,0.18661,0.05345,p
False,True,0.00703,0.70890,n
True,False,0.79874,0.47776,p
True,False,0.12087,0.07369,n
False,False,0.96234,0.12159,n
True,False,0.72187,0.18879,p
False,False,0.85583,0.47008,n
False,False,0.99244,0.05555,n
False,False,0.00623,0.37943,n
False,False,0.17388,0.34002,n
True,False,0.83405,0.77443,p
True,True,0.15006,0.05904,p
False,True,0.33970,0.50857,n
False,False,0.11974,0.07137,p
False,True,0.91902,0.05349,p
True,True,0.16953,0.06034,n
True,True,0.69625,0.03492,p
False,False,0.85330,0.24865,n
False,False,0.98947,0.68662,n
True,False,0.12158,0.95161,n
False,False,0.53281,0.16231,n
True,False,0.92365,0.88542,n
True,False,0.25947,0.74907,p
True,False,0.43746,0.88374,n
False,True,0.53573,0.63698,n
False,True,0.35770,0.18217,p
True,False,0.08891,0.86890,p
False,True,0.94872,0.73207,n
False,False,0.87782,0.15396,p
False,False,0.99437,0.21441,n
False,True,0.52000,0.22066,n
True,False,0.73172,0.48080,p
False,False,0.07872,0.84732,n
False,True,0.02170,0.48873,p
False,True,0.82973,0.94934,n
True,False,0.50946,0.85114,n
True,True,0.51756,0.76816,p
False,True,0.11800,0.44029,p
True,True,0.96635,0.13593,p
False,False,0.05287,0.93214,n
False,False,0.87460,0.13070,n
False,False,0.54254,0.76002,p
False,False,0.54302,0.73205,n
False,True,0.40833,0.18250,p
False,False,0.09781,0.71183,n
False,True,0.53101,0.15553,p
False,False,0.55794,0.72735,n
False,False,0.10687,0.22817,n
True,False,0.11009,0.03127,p
False,False,0.56155,0.06887,n
True,False,0.21023,0.02962,p
False,False,0.00102,0.13940,p
False,False,0.13411,0.33351,n
False,True,0.26590,0.81206,n
True,True,0.12564,0.22685,p
False,False,0.26085,0.31518,n
True,False,0.17207,0.24520,p
False,False,0.33427,0.80135,n
False,True,0.96242,0.07751,p
True,False,0.46346,0.12550,p
True,False,0.40821,0.32251,n
False,True,0.21923,0.68130,p
False,True,0.77255,0.70184,p
True,False,0.30871,0.94438,n
False,True,0.68016,0.59991,p
False,False,0.80575,0.72050,n
True,True,0.53446,0.56570,p
False,False,0.25666,0.53931,n
True,False,0.32413,0.20679,p
True,False,0.96526,0.24995,p
