@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.74998,0.17692,p
0.14322,0.08788,n
0.32602,0.67961,n
0.81224,0.14345,p
0.95985,0.09570,p
0.15741,0.47103,n
0.77008,0.23445,p
0.06204,0.85168,n
0.58948,0.99880,n
0.84321,0.30154,p
0.57912,0.34420,p
0.77617,0.78034,n
0.41448,0.54670,n
0.02459,0.17468,n
0.92384,0.98594,n
0.75508,0.43264,p
0.84979,0.36239,p
0.58999,0.60961,n
0.70751,0.54548,p
0.20422,0.64265,n
0.50469,0.34936,p
0.22206,0.32291,n
0.55296,0.89496,n
0.66936,0.34831,p
0.42062,0.36324,p
0.43818,0.31409,p
0.51769,0.97160,n
0.64185,0.92471,n
0.34744,0.76774,n
0.47297,0.76614,p
0.36652,0.74622,n
0.08493,0.37671,n
0.77254,0.95187,n
0.97607,0.76136,p
0.66478,0.77695,n
0.71375,0.30536,p
0.53961,0.49450,p
0.40339,0.68355,n
0.00581,0.35155,n
0.23169,0.22330,p
0.39587,0.56987,n
0.91739,0.56846,p
0.89320,0.50366,p
0.61917,0.40088,p
0.91301,0.56128,p
0.68721,0.04474,p
0.48056,0.05918,p
0.66707,0.53871,p
0.23767,0.94777,n
0.68267,0.42731,p
0.82909,0.86165,n
0.25749,0.49701,n
0.12087,0.71585,n
0.60441,0.02988,p
0.42135,0.08065,p
0.24266,0.11024,p
0.78851,0.42575,p
0.29228,0.63395,n
0.99608,0.11717,p
0.58012,0.78118,n
0.78417,0.62654,p
0.44677,0.63549,n
0.76432,0.43634,p
0.37054,0.53567,n
0.30124,0.04864,p
0.55689,0.46903,p
0.98394,0.81806,p
0.28508,0.01903,p
0.36681,0.86202,p
0.85344,0.38958,p
0.90813,0.11556,p
0.69019,0.40320,p
0.29979,0.58937,n
0.65219,0.22901,p
0.66554,0.44361,p
0.45767,0.22942,p
0.57545,0.21854,p
0.44495,0.97922,n
0.00228,0.10401,n
0.08199,0.88504,n
0.44958,0.70790,n
0.44450,0.93578,p
0.23011,0.26882,n
0.53882,0.88171,n
0.13977,0.20902,n
0.98168,0.12091,p
0.94573,0.44627,p
0.60212,0.76100,n
0.11306,0.74702,n
0.26526,0.18554,p
